id,number,number2,date,contact_id,contact_name,amount,status,created_at,updated_at,myinvois_action,myinvois_document_uuid,myinvois_document_status,issued_at,validated_at,synced_at
11174,2601383,,2026-03-09,,,373.96,ready,2026-03-10 00:38:50,2026-03-10 00:38:50,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11175,2601384,,2026-03-09,,,438.0,ready,2026-03-10 00:38:51,2026-03-10 00:38:51,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11176,2601385,,2026-03-09,,,383.0,ready,2026-03-10 00:38:51,2026-03-10 00:38:51,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11177,2601386,,2026-03-09,,,2002.0,ready,2026-03-10 00:38:52,2026-03-10 00:38:52,NORMAL,,,,,2026-03-10T14:00:58.745834
11178,2601387,,2026-03-09,,,1857.0,ready,2026-03-10 00:38:53,2026-03-10 00:38:54,NORMAL,,,,,2026-03-10T14:00:58.745834
11179,2601388,,2026-03-09,,,3133.0,ready,2026-03-10 00:38:55,2026-03-10 00:38:55,NORMAL,,,,,2026-03-10T14:00:58.745834
11180,2601389,,2026-03-09,,,1075.0,ready,2026-03-10 00:38:56,2026-03-10 00:38:56,NORMAL,,,,,2026-03-10T14:00:58.745834
11181,2601390,,2026-03-09,,,648.0,ready,2026-03-10 00:38:57,2026-03-10 00:38:57,NORMAL,,,,,2026-03-10T14:00:58.745834
11182,2601391,,2026-03-09,,,1810.0,ready,2026-03-10 00:38:58,2026-03-10 00:38:58,NORMAL,,,,,2026-03-10T14:00:58.745834
11183,2601392,,2026-03-09,,,88.0,ready,2026-03-10 00:38:59,2026-03-10 00:38:59,NORMAL,,,,,2026-03-10T14:00:58.745834
11184,2601393,,2026-03-09,,,694.5,ready,2026-03-10 00:39:00,2026-03-10 00:39:00,NORMAL,,,,,2026-03-10T14:00:58.745834
11185,2601394,,2026-03-09,,,11.0,ready,2026-03-10 00:39:01,2026-03-10 00:39:01,NORMAL,,,,,2026-03-10T14:00:58.745834
11186,2601395,,2026-03-09,,,1212.5,ready,2026-03-10 00:39:02,2026-03-10 00:39:02,NORMAL,,,,,2026-03-10T14:00:58.745834
11187,2601396,,2026-03-09,,,2698.0,ready,2026-03-10 00:39:03,2026-03-10 00:39:03,NORMAL,,,,,2026-03-10T14:00:58.745834
11188,2601397,,2026-03-09,,,2748.0,ready,2026-03-10 00:39:04,2026-03-10 00:39:05,NORMAL,,,,,2026-03-10T14:00:58.745834
11189,2601398,,2026-03-09,,,3102.0,ready,2026-03-10 00:39:06,2026-03-10 00:39:07,NORMAL,,,,,2026-03-10T14:00:58.745834
11190,2601399,,2026-03-09,,,2496.0,ready,2026-03-10 00:39:08,2026-03-10 00:39:08,NORMAL,,,,,2026-03-10T14:00:58.745834
11191,2601400,,2026-03-09,,,1807.0,ready,2026-03-10 00:39:09,2026-03-10 00:39:09,NORMAL,,,,,2026-03-10T14:00:58.745834
11192,2601401,,2026-03-09,,,1235.0,ready,2026-03-10 00:39:10,2026-03-10 00:39:11,NORMAL,,,,,2026-03-10T14:00:58.745834
11193,2601402,,2026-03-09,,,1633.0,ready,2026-03-10 00:39:11,2026-03-10 00:39:12,NORMAL,,,,,2026-03-10T14:00:58.745834
11194,2601403,,2026-03-09,,,966.0,ready,2026-03-10 00:39:13,2026-03-10 00:39:13,NORMAL,,,,,2026-03-10T14:00:58.745834
11195,2601404,,2026-03-09,,,4816.0,ready,2026-03-10 00:39:14,2026-03-10 00:39:14,NORMAL,,,,,2026-03-10T14:00:58.745834
11196,2601405,,2026-03-09,,,239.0,ready,2026-03-10 00:39:16,2026-03-10 00:39:16,NORMAL,,,,,2026-03-10T14:00:58.745834
11197,2601406,,2026-03-09,,,1728.0,ready,2026-03-10 00:39:16,2026-03-10 00:39:17,NORMAL,,,,,2026-03-10T14:00:58.745834
11198,2601407,,2026-03-09,,,732.0,ready,2026-03-10 00:39:18,2026-03-10 00:39:18,NORMAL,,,,,2026-03-10T14:00:58.745834
11199,2601408,,2026-03-09,,,3232.0,ready,2026-03-10 00:39:18,2026-03-10 00:39:19,NORMAL,,,,,2026-03-10T14:00:58.745834
11200,2601409,,2026-03-09,,,224.0,ready,2026-03-10 00:39:20,2026-03-10 00:39:20,NORMAL,,,,,2026-03-10T14:00:58.745834
11201,2601410,,2026-03-09,,,3076.0,ready,2026-03-10 00:39:21,2026-03-10 00:39:21,NORMAL,,,,,2026-03-10T14:00:58.745834
11202,2601411,,2026-03-09,,,379.5,ready,2026-03-10 00:39:23,2026-03-10 00:39:23,NORMAL,,,,,2026-03-10T14:00:58.745834
11203,2601412,,2026-03-09,,,273.5,ready,2026-03-10 00:39:23,2026-03-10 00:39:24,NORMAL,,,,,2026-03-10T14:00:58.745834
11204,2601413,,2026-03-09,,,80.85,ready,2026-03-10 00:39:24,2026-03-10 00:39:25,NORMAL,,,,,2026-03-10T14:00:58.745834
11205,2601414,,2026-03-09,,,1324.0,ready,2026-03-10 00:39:25,2026-03-10 00:39:26,NORMAL,,,,,2026-03-10T14:00:58.745834
11206,2601415,,2026-03-09,,,5285.0,ready,2026-03-10 00:39:27,2026-03-10 00:39:27,NORMAL,,,,,2026-03-10T14:00:58.745834
11207,2601416,,2026-03-09,,,358.2,ready,2026-03-10 00:39:29,2026-03-10 00:39:29,NORMAL,,,,,2026-03-10T14:00:58.745834
11208,2601417,,2026-03-09,,,3166.0,ready,2026-03-10 00:39:30,2026-03-10 00:39:30,NORMAL,,,,,2026-03-10T14:00:58.745834
11209,2601418,,2026-03-09,,,1015.2,ready,2026-03-10 00:39:31,2026-03-10 00:39:32,NORMAL,,,,,2026-03-10T14:00:58.745834
11210,2601419,,2026-03-09,,,2156.0,ready,2026-03-10 00:39:33,2026-03-10 00:39:33,NORMAL,,,,,2026-03-10T14:00:58.745834
11211,2601420,,2026-03-09,,,1131.0,ready,2026-03-10 00:39:34,2026-03-10 00:39:34,NORMAL,,,,,2026-03-10T14:00:58.745834
11212,2601421,,2026-03-09,,,758.5,ready,2026-03-10 00:39:35,2026-03-10 00:39:36,NORMAL,,,,,2026-03-10T14:00:58.745834
11213,2601422,,2026-03-09,,,275.0,ready,2026-03-10 00:39:37,2026-03-10 00:39:37,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11214,2601423,,2026-03-09,,,222.59,ready,2026-03-10 00:39:38,2026-03-10 00:39:38,EXTERNAL,,,,,2026-03-10T14:00:59.179850
11215,2601424,,2026-03-09,,,244.0,ready,2026-03-10 00:39:38,2026-03-10 00:39:39,NORMAL,,,,,2026-03-10T14:00:58.745834
11216,2601425,,2026-03-09,,,60.0,ready,2026-03-10 00:39:39,2026-03-10 00:39:40,NORMAL,,,,,2026-03-10T14:00:59.179850
11217,2601426,,2026-03-09,,,1032.0,ready,2026-03-10 00:39:40,2026-03-10 00:39:40,NORMAL,,,,,2026-03-10T14:00:59.179850
11218,2601427,,2026-03-09,,,1434.0,ready,2026-03-10 00:39:41,2026-03-10 00:39:41,NORMAL,,,,,2026-03-10T14:00:59.179850
11219,SB76651,,2026-03-09,,,80.0,ready,2026-03-10 00:40:14,2026-03-10 00:40:14,NORMAL,,,,,2026-03-10T14:00:59.179850
11220,TJ22235,,2026-03-09,,,60.0,ready,2026-03-10 00:40:15,2026-03-10 00:40:15,NORMAL,,,,,2026-03-10T14:00:59.179850
11221,TJ22236,,2026-03-09,,,96.0,ready,2026-03-10 00:40:15,2026-03-10 00:40:15,NORMAL,,,,,2026-03-10T14:00:59.179850
11222,TJ22237,,2026-03-09,,,90.0,ready,2026-03-10 00:40:16,2026-03-10 00:40:16,NORMAL,,,,,2026-03-10T14:00:59.179850
11136,2601351,,2026-03-06,,,1844.0,ready,2026-03-07 00:39:36,2026-03-07 00:39:37,NORMAL,,,,,2026-03-10T14:00:58.745834
11137,2601352,,2026-03-06,,,508.0,ready,2026-03-07 00:39:38,2026-03-07 00:39:38,NORMAL,,,,,2026-03-10T14:00:58.745834
11138,2601353,,2026-03-06,,,970.0,ready,2026-03-07 00:39:39,2026-03-07 00:39:39,NORMAL,,,,,2026-03-10T14:00:58.745834
11139,2601354,,2026-03-06,,,3240.0,ready,2026-03-07 00:39:40,2026-03-07 00:39:40,NORMAL,,,,,2026-03-10T14:00:58.745834
11140,2601355,,2026-03-06,,,156.0,ready,2026-03-07 00:39:41,2026-03-07 00:39:41,NORMAL,,,,,2026-03-10T14:00:58.745834
11141,2601356,,2026-03-06,,,75.5,ready,2026-03-07 00:39:41,2026-03-07 00:39:42,NORMAL,,,,,2026-03-10T14:00:58.745834
11142,2601357,,2026-03-06,,,47.0,ready,2026-03-07 00:39:42,2026-03-07 00:39:42,NORMAL,,,,,2026-03-10T14:00:58.745834
11143,2601358,,2026-03-06,,,428.0,ready,2026-03-07 00:39:43,2026-03-07 00:39:43,NORMAL,,,,,2026-03-10T14:00:58.745834
11144,2601359,,2026-03-06,,,1712.0,ready,2026-03-07 00:39:44,2026-03-07 00:39:44,NORMAL,,,,,2026-03-10T14:00:58.745834
11145,2601360,,2026-03-06,,,348.96,ready,2026-03-07 00:39:45,2026-03-07 00:39:45,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11146,2601361,,2026-03-06,,,487.0,ready,2026-03-07 00:39:46,2026-03-07 00:39:46,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11147,2601362,,2026-03-06,,,222.59,ready,2026-03-07 00:39:47,2026-03-07 00:39:47,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11148,2601363,,2026-03-06,,,222.59,ready,2026-03-07 00:39:47,2026-03-07 00:39:48,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11149,2601364,,2026-03-06,,,2405.0,ready,2026-03-07 00:39:48,2026-03-07 00:39:49,NORMAL,,,,,2026-03-10T14:00:58.745834
11150,2601365,,2026-03-06,,,905.0,ready,2026-03-07 00:39:50,2026-03-07 00:39:50,NORMAL,,,,,2026-03-10T14:00:58.745834
11151,2601366,,2026-03-06,,,3191.0,ready,2026-03-07 00:39:51,2026-03-07 00:39:51,NORMAL,,,,,2026-03-10T14:00:58.745834
11152,2601367,,2026-03-06,,,1462.0,ready,2026-03-07 00:39:53,2026-03-07 00:39:53,NORMAL,,,,,2026-03-10T14:00:58.745834
11153,2601368,,2026-03-06,,,1343.0,ready,2026-03-07 00:39:54,2026-03-07 00:39:54,NORMAL,,,,,2026-03-10T14:00:58.745834
11154,2601369,,2026-03-06,,,164.0,ready,2026-03-07 00:39:55,2026-03-07 00:39:55,NORMAL,,,,,2026-03-10T14:00:58.745834
11156,2601371,,2026-03-06,,,515.0,ready,2026-03-07 00:39:57,2026-03-07 00:39:57,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11157,TJ22234,,2026-03-06,,,102.0,ready,2026-03-07 00:40:28,2026-03-07 00:40:28,NORMAL,,,,,2026-03-10T14:00:58.745834
11091,2601317,,2026-03-05,,,3835.0,ready,2026-03-06 00:40:06,2026-03-06 00:40:06,VALIDATE,MFAM29YY96KJ3KCDE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11092,2601318,,2026-03-05,,,3556.0,ready,2026-03-06 00:40:07,2026-03-06 00:40:08,VALIDATE,NDZR1QQD9AQHRB9FF7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11093,2601319,,2026-03-05,,,880.0,ready,2026-03-06 00:40:09,2026-03-06 00:40:09,VALIDATE,NGKGNNG5D4MZBC30F7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11094,2601320,,2026-03-05,,,348.0,ready,2026-03-06 00:40:10,2026-03-06 00:40:10,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11095,2601321,,2026-03-05,,,222.59,ready,2026-03-06 00:40:11,2026-03-06 00:40:11,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11096,2601322,,2026-03-05,,,1135.0,ready,2026-03-06 00:40:11,2026-03-06 00:40:12,VALIDATE,X9EK7SN67WJ5VN7YF7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11097,2601323,,2026-03-05,,,273.0,ready,2026-03-06 00:40:12,2026-03-06 00:40:12,NORMAL,,,,,2026-03-10T14:00:57.975719
11098,2601324,,2026-03-05,,,712.0,ready,2026-03-06 00:40:13,2026-03-06 00:40:13,NORMAL,,,,,2026-03-10T14:00:57.975719
11099,2601325,,2026-03-05,,,899.0,ready,2026-03-06 00:40:14,2026-03-06 00:40:14,VALIDATE,7ZNBKE4ZTRAJ752XF7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11100,2601326,,2026-03-05,,,489.58,ready,2026-03-06 00:40:15,2026-03-06 00:40:15,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11101,2601327,,2026-03-05,,,374.0,ready,2026-03-06 00:40:16,2026-03-06 00:40:16,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11102,2601328,,2026-03-05,,,222.59,ready,2026-03-06 00:40:17,2026-03-06 00:40:17,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11103,2601329,,2026-03-05,,,418.0,ready,2026-03-06 00:40:17,2026-03-06 00:40:17,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11104,2601330,,2026-03-05,,,2310.0,ready,2026-03-06 00:40:18,2026-03-06 00:40:18,VALIDATE,0A89J909JBP38BW9F7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11105,2601331,,2026-03-05,,,492.0,ready,2026-03-06 00:40:19,2026-03-06 00:40:19,VALIDATE,RSPSX1T09JW3M8VGF7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11106,2601332,,2026-03-05,,,1165.0,ready,2026-03-06 00:40:20,2026-03-06 00:40:20,VALIDATE,EBDNKXGGX1A6PCT5G7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11107,2601333,,2026-03-05,,,286.2,ready,2026-03-06 00:40:21,2026-03-06 00:40:21,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11108,2601334,,2026-03-05,,,2520.0,ready,2026-03-06 00:40:22,2026-03-06 00:40:22,VALIDATE,NPET28D6C83XVGSDG7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11109,2601335,,2026-03-05,,,1579.0,ready,2026-03-06 00:40:23,2026-03-06 00:40:24,VALIDATE,YD846WDAXDQ1KC9XG7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11110,2601336,,2026-03-05,,,985.0,ready,2026-03-06 00:40:24,2026-03-06 00:40:25,VALIDATE,TS9982DXR8DEZWA8G7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11111,2601337,,2026-03-05,,,140.0,ready,2026-03-06 00:40:25,2026-03-06 00:40:25,VALIDATE,S6JFWEN7TFK2H2EKG7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11112,2601338,,2026-03-05,,,562.0,ready,2026-03-06 00:40:26,2026-03-06 00:40:26,VALIDATE,SCMD74FWWE5HP7BGG7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11113,2601339,,2026-03-05,,,348.0,ready,2026-03-06 00:40:27,2026-03-06 00:40:27,VALIDATE,81N6EK9T49DX3ZTNG7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11114,2601340,,2026-03-05,,,1814.0,ready,2026-03-06 00:40:28,2026-03-06 00:40:28,VALIDATE,B8C5W2C7FWC9P4QQG7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11115,2601341,,2026-03-05,,,2829.0,ready,2026-03-06 00:40:29,2026-03-06 00:40:29,VALIDATE,3WAQKJ8NVRZ8PGQTG7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11116,2601342,,2026-03-05,,,254.0,ready,2026-03-06 00:40:30,2026-03-06 00:40:30,VALIDATE,Z8V9VG83R58K6MQHH7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11117,2601343,,2026-03-05,,,254.0,ready,2026-03-06 00:40:31,2026-03-06 00:40:31,VALIDATE,5Z56EW9NFTP2B0C3H7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11118,2601344,,2026-03-05,,,1290.0,ready,2026-03-06 00:40:32,2026-03-06 00:40:32,VALIDATE,ST4KP1WG45Q19B81H7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11119,2601345,,2026-03-05,,,3420.0,ready,2026-03-06 00:40:33,2026-03-06 00:40:33,VALIDATE,AR8RB140DG2AF9Z2H7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11120,2601346,,2026-03-05,,,4115.0,ready,2026-03-06 00:40:35,2026-03-06 00:40:35,VALIDATE,FN6DKAJ7V8CGJYKZH7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11121,2601347,,2026-03-05,,,520.2,ready,2026-03-06 00:40:36,2026-03-06 00:40:37,VALIDATE,9C02M9TFQ8R44DXTH7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11122,2601348,,2026-03-05,,,1185.0,ready,2026-03-06 00:40:37,2026-03-06 00:40:37,VALIDATE,W0E4QVCGNWWQNEB4H7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11123,2601349,,2026-03-05,,,249.0,ready,2026-03-06 00:40:38,2026-03-06 00:40:38,VALIDATE,97D6XX2WS1YNWJGPH7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11124,2601350,,2026-03-05,,,1325.0,ready,2026-03-06 00:40:39,2026-03-06 00:40:39,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11125,SB76601,,2026-03-05,,,30.0,ready,2026-03-06 00:41:32,2026-03-06 00:41:32,VALIDATE,MQG8FJ6288M4QHZMJ7KKW8KK10,VALID,2026-03-09 16:49:48,2026-03-09 16:49:50,2026-03-10T14:00:58.745834
11047,2601286,,2026-03-04,,,2405.0,ready,2026-03-05 00:39:24,2026-03-05 00:39:24,VALIDATE,PF1V3R6MC8WNV3KFB7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11048,2601287,,2026-03-04,,,332.6,ready,2026-03-05 00:39:25,2026-03-05 00:39:25,VALIDATE,YW8H827PDS96XPD0C7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11049,2601288,,2026-03-04,,,1940.0,ready,2026-03-05 00:39:26,2026-03-05 00:39:26,VALIDATE,V93A768EK546J0X5C7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11050,2601289,,2026-03-04,,,4474.0,ready,2026-03-05 00:39:27,2026-03-05 00:39:28,VALIDATE,XFG20FSMRSASQTKFC7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11051,2601290,,2026-03-04,,,1236.0,ready,2026-03-05 00:39:29,2026-03-05 00:39:29,VALIDATE,NSVJBE04R090N2ZNC7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11052,2601291,,2026-03-04,,,2077.0,ready,2026-03-05 00:39:30,2026-03-05 00:39:30,VALIDATE,RVJNH8Q0V6221PB8C7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11053,2601292,,2026-03-04,,,702.0,ready,2026-03-05 00:39:31,2026-03-05 00:39:31,VALIDATE,0FCVW811FC8MEWZGC7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11054,2601293,,2026-03-04,,,1354.0,ready,2026-03-05 00:39:32,2026-03-05 00:39:32,VALIDATE,MAYGB4BPBBPB0S0KC7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11055,2601294,,2026-03-04,,,1271.0,ready,2026-03-05 00:39:33,2026-03-05 00:39:33,VALIDATE,18T22GYYVFC5RWXEC7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11056,2601295,,2026-03-04,,,339.0,ready,2026-03-05 00:39:34,2026-03-05 00:39:34,VALIDATE,QPT55GE9AFNX957KD7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11057,2601296,,2026-03-04,,,2380.0,ready,2026-03-05 00:39:35,2026-03-05 00:39:35,VALIDATE,1N94G3K9Z02FWQADD7KKW8KK10,VALID,2026-03-09 16:49:46,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11058,2601297,,2026-03-04,,,1046.75,ready,2026-03-05 00:39:36,2026-03-05 00:39:37,VALIDATE,E4B030YP96SSAXZFD7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11059,2601298,,2026-03-04,,,2075.0,ready,2026-03-05 00:39:38,2026-03-05 00:39:38,VALIDATE,98VGCVXND6VCRVSJD7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11060,2601299,,2026-03-04,,,493.0,ready,2026-03-05 00:39:39,2026-03-05 00:39:39,VALIDATE,XQP0BG1XWM9AG4W5D7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11061,2601300,,2026-03-04,,,304.0,ready,2026-03-05 00:39:40,2026-03-05 00:39:40,VALIDATE,02QW4FT31TX30T0SD7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11062,2601301,,2026-03-04,,,1713.0,ready,2026-03-05 00:39:41,2026-03-05 00:39:41,VALIDATE,AG4K3T2W2T4PJCAFD7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:49,2026-03-10T14:00:57.975719
11063,2601302,,2026-03-04,,,3213.0,ready,2026-03-05 00:39:42,2026-03-05 00:39:42,VALIDATE,WYR4HESJDFC5NM98E7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11064,2601303,,2026-03-04,,,1080.0,ready,2026-03-05 00:39:44,2026-03-05 00:39:44,VALIDATE,PRNV74F1RXGZKRBWE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11065,2601304,,2026-03-04,,,1118.34,ready,2026-03-05 00:39:44,2026-03-05 00:39:45,VALIDATE,PZEC0G83CB20J12TE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11066,2601305,,2026-03-04,,,5006.0,ready,2026-03-05 00:39:45,2026-03-05 00:39:46,VALIDATE,CRJVXTN45F67XPYDE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11067,2601306,,2026-03-04,,,492.0,ready,2026-03-05 00:39:48,2026-03-05 00:39:48,VALIDATE,V88RWM4BKMVX33CCE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11069,2601308,,2026-03-04,,,1052.0,ready,2026-03-05 00:39:50,2026-03-05 09:17:20,VALIDATE,E0HPKH5N36ZS5NZ3E7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11070,2601309,,2026-03-04,,,298.8,ready,2026-03-05 00:39:51,2026-03-05 00:39:51,VALIDATE,AE8GQWNWCNJC113YE7KKW8KK10,VALID,2026-03-09 16:49:47,2026-03-09 16:49:50,2026-03-10T14:00:57.975719
11071,2601310,,2026-03-04,,,119.5,ready,2026-03-05 00:39:51,2026-03-05 00:39:52,NORMAL,,,,,2026-03-10T14:00:57.975719
11072,2601311,,2026-03-04,,,949.0,ready,2026-03-05 00:39:52,2026-03-05 00:39:52,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11073,2601312,,2026-03-04,,,486.95,ready,2026-03-05 00:39:53,2026-03-05 00:39:53,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11074,2601313,,2026-03-04,,,414.6,ready,2026-03-05 00:39:54,2026-03-05 00:39:54,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11075,2601314,,2026-03-04,,,375.0,ready,2026-03-05 00:39:54,2026-03-05 00:39:54,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11076,2601315,,2026-03-04,,,187.59,ready,2026-03-05 00:39:55,2026-03-05 00:39:55,EXTERNAL,,,,,2026-03-10T14:00:57.975719
11077,2601316,,2026-03-04,,,374.0,ready,2026-03-05 00:39:56,2026-03-05 00:39:56,EXTERNAL,,,,,2026-03-10T14:00:57.975719
