id,number,number2,date,contact_id,contact_name,amount,status,created_at,updated_at,myinvois_document_uuid,myinvois_document_status,issued_at,validated_at,synced_at
11144,2601359,,2026-03-06,,,1712.0,ready,2026-03-07 00:39:44,2026-03-07 00:39:44,,,,,2026-03-10T11:30:58.188187
11145,2601360,,2026-03-06,,,348.96,ready,2026-03-07 00:39:45,2026-03-07 00:39:45,,,,,2026-03-10T11:30:58.188187
11146,2601361,,2026-03-06,,,487.0,ready,2026-03-07 00:39:46,2026-03-07 00:39:46,,,,,2026-03-10T11:30:58.188187
11147,2601362,,2026-03-06,,,222.59,ready,2026-03-07 00:39:47,2026-03-07 00:39:47,,,,,2026-03-10T11:30:58.188187
11148,2601363,,2026-03-06,,,222.59,ready,2026-03-07 00:39:47,2026-03-07 00:39:48,,,,,2026-03-10T11:30:58.188187
11149,2601364,,2026-03-06,,,2405.0,ready,2026-03-07 00:39:48,2026-03-07 00:39:49,,,,,2026-03-10T11:30:58.188187
11150,2601365,,2026-03-06,,,905.0,ready,2026-03-07 00:39:50,2026-03-07 00:39:50,,,,,2026-03-10T11:30:58.188187
11151,2601366,,2026-03-06,,,3191.0,ready,2026-03-07 00:39:51,2026-03-07 00:39:51,,,,,2026-03-10T11:30:58.188187
11152,2601367,,2026-03-06,,,1462.0,ready,2026-03-07 00:39:53,2026-03-07 00:39:53,,,,,2026-03-10T11:30:58.188187
11153,2601368,,2026-03-06,,,1343.0,ready,2026-03-07 00:39:54,2026-03-07 00:39:54,,,,,2026-03-10T11:30:58.188187
11154,2601369,,2026-03-06,,,164.0,ready,2026-03-07 00:39:55,2026-03-07 00:39:55,,,,,2026-03-10T11:30:58.188187
11156,2601371,,2026-03-06,,,515.0,ready,2026-03-07 00:39:57,2026-03-07 00:39:57,,,,,2026-03-10T11:30:58.188187
11157,TJ22234,,2026-03-06,,,102.0,ready,2026-03-07 00:40:28,2026-03-07 00:40:28,,,,,2026-03-10T11:30:58.188187
11091,2601317,,2026-03-05,,,3835.0,ready,2026-03-06 00:40:06,2026-03-06 00:40:06,,,,,2026-03-10T11:30:58.188187
11092,2601318,,2026-03-05,,,3556.0,ready,2026-03-06 00:40:07,2026-03-06 00:40:08,,,,,2026-03-10T11:30:58.188187
11093,2601319,,2026-03-05,,,880.0,ready,2026-03-06 00:40:09,2026-03-06 00:40:09,,,,,2026-03-10T11:30:58.188187
11094,2601320,,2026-03-05,,,348.0,ready,2026-03-06 00:40:10,2026-03-06 00:40:10,,,,,2026-03-10T11:30:58.188187
11095,2601321,,2026-03-05,,,222.59,ready,2026-03-06 00:40:11,2026-03-06 00:40:11,,,,,2026-03-10T11:30:58.188187
11096,2601322,,2026-03-05,,,1135.0,ready,2026-03-06 00:40:11,2026-03-06 00:40:12,,,,,2026-03-10T11:30:58.188187
11097,2601323,,2026-03-05,,,273.0,ready,2026-03-06 00:40:12,2026-03-06 00:40:12,,,,,2026-03-10T11:30:58.188187
11098,2601324,,2026-03-05,,,712.0,ready,2026-03-06 00:40:13,2026-03-06 00:40:13,,,,,2026-03-10T11:30:58.188187
11099,2601325,,2026-03-05,,,899.0,ready,2026-03-06 00:40:14,2026-03-06 00:40:14,,,,,2026-03-10T11:30:58.188187
11100,2601326,,2026-03-05,,,489.58,ready,2026-03-06 00:40:15,2026-03-06 00:40:15,,,,,2026-03-10T11:30:58.188187
11101,2601327,,2026-03-05,,,374.0,ready,2026-03-06 00:40:16,2026-03-06 00:40:16,,,,,2026-03-10T11:30:58.188187
11102,2601328,,2026-03-05,,,222.59,ready,2026-03-06 00:40:17,2026-03-06 00:40:17,,,,,2026-03-10T11:30:58.188187
11103,2601329,,2026-03-05,,,418.0,ready,2026-03-06 00:40:17,2026-03-06 00:40:17,,,,,2026-03-10T11:30:58.188187
11104,2601330,,2026-03-05,,,2310.0,ready,2026-03-06 00:40:18,2026-03-06 00:40:18,,,,,2026-03-10T11:30:58.188187
11105,2601331,,2026-03-05,,,492.0,ready,2026-03-06 00:40:19,2026-03-06 00:40:19,,,,,2026-03-10T11:30:58.188187
11106,2601332,,2026-03-05,,,1165.0,ready,2026-03-06 00:40:20,2026-03-06 00:40:20,,,,,2026-03-10T11:30:58.188187
11107,2601333,,2026-03-05,,,286.2,ready,2026-03-06 00:40:21,2026-03-06 00:40:21,,,,,2026-03-10T11:30:58.188187
11108,2601334,,2026-03-05,,,2520.0,ready,2026-03-06 00:40:22,2026-03-06 00:40:22,,,,,2026-03-10T11:30:58.188187
11109,2601335,,2026-03-05,,,1579.0,ready,2026-03-06 00:40:23,2026-03-06 00:40:24,,,,,2026-03-10T11:30:58.188187
11110,2601336,,2026-03-05,,,985.0,ready,2026-03-06 00:40:24,2026-03-06 00:40:25,,,,,2026-03-10T11:30:58.188187
11111,2601337,,2026-03-05,,,140.0,ready,2026-03-06 00:40:25,2026-03-06 00:40:25,,,,,2026-03-10T11:30:58.188187
11112,2601338,,2026-03-05,,,562.0,ready,2026-03-06 00:40:26,2026-03-06 00:40:26,,,,,2026-03-10T11:30:58.188187
11113,2601339,,2026-03-05,,,348.0,ready,2026-03-06 00:40:27,2026-03-06 00:40:27,,,,,2026-03-10T11:30:58.188187
11114,2601340,,2026-03-05,,,1814.0,ready,2026-03-06 00:40:28,2026-03-06 00:40:28,,,,,2026-03-10T11:30:58.188187
11115,2601341,,2026-03-05,,,2829.0,ready,2026-03-06 00:40:29,2026-03-06 00:40:29,,,,,2026-03-10T11:30:58.188187
11116,2601342,,2026-03-05,,,254.0,ready,2026-03-06 00:40:30,2026-03-06 00:40:30,,,,,2026-03-10T11:30:58.188187
11117,2601343,,2026-03-05,,,254.0,ready,2026-03-06 00:40:31,2026-03-06 00:40:31,,,,,2026-03-10T11:30:58.188187
11118,2601344,,2026-03-05,,,1290.0,ready,2026-03-06 00:40:32,2026-03-06 00:40:32,,,,,2026-03-10T11:30:58.188187
11119,2601345,,2026-03-05,,,3420.0,ready,2026-03-06 00:40:33,2026-03-06 00:40:33,,,,,2026-03-10T11:30:58.188187
11120,2601346,,2026-03-05,,,4115.0,ready,2026-03-06 00:40:35,2026-03-06 00:40:35,,,,,2026-03-10T11:30:58.188187
11121,2601347,,2026-03-05,,,520.2,ready,2026-03-06 00:40:36,2026-03-06 00:40:37,,,,,2026-03-10T11:30:58.188187
11122,2601348,,2026-03-05,,,1185.0,ready,2026-03-06 00:40:37,2026-03-06 00:40:37,,,,,2026-03-10T11:30:58.188187
11123,2601349,,2026-03-05,,,249.0,ready,2026-03-06 00:40:38,2026-03-06 00:40:38,,,,,2026-03-10T11:30:58.188187
11124,2601350,,2026-03-05,,,1325.0,ready,2026-03-06 00:40:39,2026-03-06 00:40:39,,,,,2026-03-10T11:30:58.188187
11125,SB76601,,2026-03-05,,,30.0,ready,2026-03-06 00:41:32,2026-03-06 00:41:32,,,,,2026-03-10T11:30:58.188187
11047,2601286,,2026-03-04,,,2405.0,ready,2026-03-05 00:39:24,2026-03-05 00:39:24,,,,,2026-03-10T11:30:57.585535
11048,2601287,,2026-03-04,,,332.6,ready,2026-03-05 00:39:25,2026-03-05 00:39:25,,,,,2026-03-10T11:30:57.585535
11049,2601288,,2026-03-04,,,1940.0,ready,2026-03-05 00:39:26,2026-03-05 00:39:26,,,,,2026-03-10T11:30:57.585535
11050,2601289,,2026-03-04,,,4474.0,ready,2026-03-05 00:39:27,2026-03-05 00:39:28,,,,,2026-03-10T11:30:57.585535
11051,2601290,,2026-03-04,,,1236.0,ready,2026-03-05 00:39:29,2026-03-05 00:39:29,,,,,2026-03-10T11:30:57.585535
11052,2601291,,2026-03-04,,,2077.0,ready,2026-03-05 00:39:30,2026-03-05 00:39:30,,,,,2026-03-10T11:30:57.585535
11053,2601292,,2026-03-04,,,702.0,ready,2026-03-05 00:39:31,2026-03-05 00:39:31,,,,,2026-03-10T11:30:57.585535
11054,2601293,,2026-03-04,,,1354.0,ready,2026-03-05 00:39:32,2026-03-05 00:39:32,,,,,2026-03-10T11:30:57.585535
11055,2601294,,2026-03-04,,,1271.0,ready,2026-03-05 00:39:33,2026-03-05 00:39:33,,,,,2026-03-10T11:30:57.585535
11056,2601295,,2026-03-04,,,339.0,ready,2026-03-05 00:39:34,2026-03-05 00:39:34,,,,,2026-03-10T11:30:58.188187
11057,2601296,,2026-03-04,,,2380.0,ready,2026-03-05 00:39:35,2026-03-05 00:39:35,,,,,2026-03-10T11:30:58.188187
11058,2601297,,2026-03-04,,,1046.75,ready,2026-03-05 00:39:36,2026-03-05 00:39:37,,,,,2026-03-10T11:30:58.188187
11059,2601298,,2026-03-04,,,2075.0,ready,2026-03-05 00:39:38,2026-03-05 00:39:38,,,,,2026-03-10T11:30:58.188187
11060,2601299,,2026-03-04,,,493.0,ready,2026-03-05 00:39:39,2026-03-05 00:39:39,,,,,2026-03-10T11:30:58.188187
11061,2601300,,2026-03-04,,,304.0,ready,2026-03-05 00:39:40,2026-03-05 00:39:40,,,,,2026-03-10T11:30:58.188187
11062,2601301,,2026-03-04,,,1713.0,ready,2026-03-05 00:39:41,2026-03-05 00:39:41,,,,,2026-03-10T11:30:58.188187
11063,2601302,,2026-03-04,,,3213.0,ready,2026-03-05 00:39:42,2026-03-05 00:39:42,,,,,2026-03-10T11:30:58.188187
11064,2601303,,2026-03-04,,,1080.0,ready,2026-03-05 00:39:44,2026-03-05 00:39:44,,,,,2026-03-10T11:30:58.188187
11065,2601304,,2026-03-04,,,1118.34,ready,2026-03-05 00:39:44,2026-03-05 00:39:45,,,,,2026-03-10T11:30:58.188187
11066,2601305,,2026-03-04,,,5006.0,ready,2026-03-05 00:39:45,2026-03-05 00:39:46,,,,,2026-03-10T11:30:58.188187
11067,2601306,,2026-03-04,,,492.0,ready,2026-03-05 00:39:48,2026-03-05 00:39:48,,,,,2026-03-10T11:30:58.188187
11069,2601308,,2026-03-04,,,1052.0,ready,2026-03-05 00:39:50,2026-03-05 09:17:20,,,,,2026-03-10T11:30:58.188187
11070,2601309,,2026-03-04,,,298.8,ready,2026-03-05 00:39:51,2026-03-05 00:39:51,,,,,2026-03-10T11:30:58.188187
11071,2601310,,2026-03-04,,,119.5,ready,2026-03-05 00:39:51,2026-03-05 00:39:52,,,,,2026-03-10T11:30:58.188187
11072,2601311,,2026-03-04,,,949.0,ready,2026-03-05 00:39:52,2026-03-05 00:39:52,,,,,2026-03-10T11:30:58.188187
11073,2601312,,2026-03-04,,,486.95,ready,2026-03-05 00:39:53,2026-03-05 00:39:53,,,,,2026-03-10T11:30:58.188187
11074,2601313,,2026-03-04,,,414.6,ready,2026-03-05 00:39:54,2026-03-05 00:39:54,,,,,2026-03-10T11:30:58.188187
11075,2601314,,2026-03-04,,,375.0,ready,2026-03-05 00:39:54,2026-03-05 00:39:54,,,,,2026-03-10T11:30:58.188187
11076,2601315,,2026-03-04,,,187.59,ready,2026-03-05 00:39:55,2026-03-05 00:39:55,,,,,2026-03-10T11:30:58.188187
11077,2601316,,2026-03-04,,,374.0,ready,2026-03-05 00:39:56,2026-03-05 00:39:56,,,,,2026-03-10T11:30:58.188187
11078,SB75542,,2026-03-04,,,27.0,ready,2026-03-05 00:40:27,2026-03-05 00:40:27,,,,,2026-03-10T11:30:58.188187
11079,SB77060,,2026-03-04,,,57.6,ready,2026-03-05 00:40:28,2026-03-05 00:40:28,,,,,2026-03-10T11:30:58.188187
11001,2601241,,2026-03-03,,,289.0,ready,2026-03-04 00:39:23,2026-03-04 00:39:23,,,,,2026-03-10T11:30:57.585535
11002,2601242,,2026-03-03,,,4490.0,ready,2026-03-04 00:39:24,2026-03-04 00:39:24,,,,,2026-03-10T11:30:57.585535
11003,2601243,,2026-03-03,,,2405.0,ready,2026-03-04 00:39:26,2026-03-04 00:39:26,,,,,2026-03-10T11:30:57.585535
11004,2601244,,2026-03-03,,,367.5,ready,2026-03-04 00:39:27,2026-03-04 00:39:27,,,,,2026-03-10T11:30:57.585535
11005,2601245,,2026-03-03,,,420.0,ready,2026-03-04 00:39:28,2026-03-04 00:39:28,,,,,2026-03-10T11:30:57.585535
11006,2601246,,2026-03-03,,,3356.0,ready,2026-03-04 00:39:29,2026-03-04 00:39:29,,,,,2026-03-10T11:30:57.585535
11007,2601247,,2026-03-03,,,959.0,ready,2026-03-04 00:39:31,2026-03-04 00:39:31,,,,,2026-03-10T11:30:57.585535
11008,2601248,,2026-03-03,,,233.5,ready,2026-03-04 00:39:32,2026-03-04 00:39:32,,,,,2026-03-10T11:30:57.585535
11009,2601249,,2026-03-03,,,1827.0,ready,2026-03-04 00:39:33,2026-03-04 00:39:33,,,,,2026-03-10T11:30:57.585535
11010,2601250,,2026-03-03,,,986.0,ready,2026-03-04 00:39:34,2026-03-04 00:39:34,,,,,2026-03-10T11:30:57.585535
11011,2601251,,2026-03-03,,,656.0,ready,2026-03-04 00:39:35,2026-03-04 00:39:35,,,,,2026-03-10T11:30:57.585535
11012,2601252,,2026-03-03,,,493.0,ready,2026-03-04 00:39:36,2026-03-04 00:39:36,,,,,2026-03-10T11:30:57.585535
11013,2601253,,2026-03-03,,,909.0,ready,2026-03-04 00:39:37,2026-03-04 00:39:37,,,,,2026-03-10T11:30:57.585535
11014,2601254,,2026-03-03,,,2349.0,ready,2026-03-04 00:39:38,2026-03-04 00:39:38,,,,,2026-03-10T11:30:57.585535
11015,2601255,,2026-03-03,,,977.8,ready,2026-03-04 00:39:39,2026-03-04 00:39:39,,,,,2026-03-10T11:30:57.585535
11016,2601256,,2026-03-03,,,144.5,ready,2026-03-04 00:39:40,2026-03-04 00:39:41,,,,,2026-03-10T11:30:57.585535
11017,2601257,,2026-03-03,,,181.96,ready,2026-03-04 00:39:41,2026-03-04 00:39:41,,,,,2026-03-10T11:30:57.585535
11018,2601258,,2026-03-03,,,187.59,ready,2026-03-04 00:39:42,2026-03-04 00:39:42,,,,,2026-03-10T11:30:57.585535
11019,2601259,,2026-03-03,,,187.59,ready,2026-03-04 00:39:43,2026-03-04 00:39:43,,,,,2026-03-10T11:30:57.585535
11020,2601260,,2026-03-03,,,187.59,ready,2026-03-04 00:39:43,2026-03-04 00:39:43,,,,,2026-03-10T11:30:57.585535
11021,2601261,,2026-03-03,,,222.59,ready,2026-03-04 00:39:44,2026-03-04 00:39:44,,,,,2026-03-10T11:30:57.585535
11022,2601262,,2026-03-03,,,222.59,ready,2026-03-04 00:39:45,2026-03-04 00:39:45,,,,,2026-03-10T11:30:57.585535
11023,2601263,,2026-03-03,,,187.59,ready,2026-03-04 00:39:45,2026-03-04 00:39:45,,,,,2026-03-10T11:30:57.585535
11024,2601264,,2026-03-03,,,439.34,ready,2026-03-04 00:39:46,2026-03-04 00:39:46,,,,,2026-03-10T11:30:57.585535
11025,2601265,,2026-03-03,,,222.59,ready,2026-03-04 00:39:47,2026-03-04 00:39:47,,,,,2026-03-10T11:30:57.585535
11026,2601266,,2026-03-03,,,187.59,ready,2026-03-04 00:39:47,2026-03-04 00:39:48,,,,,2026-03-10T11:30:57.585535
11027,2601267,,2026-03-03,,,222.59,ready,2026-03-04 00:39:48,2026-03-04 00:39:48,,,,,2026-03-10T11:30:57.585535
11028,2601268,,2026-03-03,,,374.0,ready,2026-03-04 00:39:49,2026-03-04 00:39:49,,,,,2026-03-10T11:30:57.585535
11029,2601269,,2026-03-03,,,392.0,ready,2026-03-04 00:39:50,2026-03-04 00:39:50,,,,,2026-03-10T11:30:57.585535
11030,2601270,,2026-03-03,,,519.94,ready,2026-03-04 00:39:50,2026-03-04 00:39:50,,,,,2026-03-10T11:30:57.585535
11031,2601271,,2026-03-03,,,234.0,ready,2026-03-04 00:39:51,2026-03-04 00:39:51,,,,,2026-03-10T11:30:57.585535
11032,2601272,,2026-03-03,,,164.0,ready,2026-03-04 00:39:52,2026-03-04 00:39:52,,,,,2026-03-10T11:30:57.585535
11033,2601273,,2026-03-03,,,321.0,ready,2026-03-04 00:39:53,2026-03-04 00:39:53,,,,,2026-03-10T11:30:57.585535
11034,2601274,,2026-03-03,,,188.5,ready,2026-03-04 00:39:53,2026-03-04 00:39:53,,,,,2026-03-10T11:30:57.585535
11035,2601275,,2026-03-03,,,328.0,ready,2026-03-04 00:39:54,2026-03-04 00:39:54,,,,,2026-03-10T11:30:57.585535
11036,2601276,,2026-03-03,,,345.0,ready,2026-03-04 00:39:55,2026-03-04 00:39:55,,,,,2026-03-10T11:30:57.585535
11037,2601277,,2026-03-03,,,378.0,ready,2026-03-04 00:39:55,2026-03-04 00:39:55,,,,,2026-03-10T11:30:57.585535
11038,2601278,,2026-03-03,,,304.0,ready,2026-03-04 00:39:56,2026-03-04 00:39:56,,,,,2026-03-10T11:30:57.585535
11039,2601279,,2026-03-03,,,508.0,ready,2026-03-04 00:39:57,2026-03-04 00:39:57,,,,,2026-03-10T11:30:57.585535
11040,2601280,,2026-03-03,,,759.0,ready,2026-03-04 00:39:58,2026-03-04 00:39:58,,,,,2026-03-10T11:30:57.585535
11041,2601281,,2026-03-03,,,520.0,ready,2026-03-04 00:39:58,2026-03-04 00:39:58,,,,,2026-03-10T11:30:57.585535
11042,2601282,,2026-03-03,,,473.0,ready,2026-03-04 00:39:59,2026-03-04 00:39:59,,,,,2026-03-10T11:30:57.585535
11043,2601283,,2026-03-03,,,3970.0,ready,2026-03-04 00:40:00,2026-03-04 00:40:00,,,,,2026-03-10T11:30:57.585535
11044,2601284,,2026-03-03,,,726.0,ready,2026-03-04 00:40:02,2026-03-04 00:40:02,,,,,2026-03-10T11:30:57.585535
11045,2601285,,2026-03-03,,,1021.44,ready,2026-03-04 00:40:02,2026-03-04 00:40:03,,,,,2026-03-10T11:30:57.585535
10987,2601229,,2026-03-02,,,164.0,ready,2026-03-02 15:24:46,2026-03-02 15:24:46,,,,,2026-03-10T11:30:57.585535
10988,2601230,,2026-03-02,,,760.0,ready,2026-03-02 15:24:47,2026-03-02 15:24:47,,,,,2026-03-10T11:30:57.585535
